epoch,train_loss,train_auc,train_acc,train_sens,train_spec,val_auc,val_acc,val_sens,val_spec,current_lr
1,8.42413878440857,0.9010858365697076,0.92,0.8709677419354839,0.9312039312039312,0.7083333333333333,0.8133333333333334,0.5333333333333333,0.8833333333333333,0.0001
2,3.3936455845832825,0.9731182795698925,0.99,0.946236559139785,1.0,0.5791666666666667,0.8266666666666667,0.16666666666666666,0.9916666666666667,0.0001
3,1.3761701844632626,1.0,1.0,1.0,1.0,0.6708333333333334,0.8533333333333334,0.36666666666666664,0.975,5e-05
4,0.5911723859608173,1.0,1.0,1.0,1.0,0.6583333333333333,0.8333333333333334,0.36666666666666664,0.95,5e-05
5,0.6118251048028469,1.0,1.0,1.0,1.0,0.6583333333333333,0.8333333333333334,0.36666666666666664,0.95,2.5e-05
6,0.3879310730844736,1.0,1.0,1.0,1.0,0.6583333333333332,0.8533333333333334,0.3333333333333333,0.9833333333333333,2.5e-05
7,0.3312821723520756,1.0,1.0,1.0,1.0,0.6583333333333332,0.8533333333333334,0.3333333333333333,0.9833333333333333,1.25e-05
