epoch,train_loss,train_auc,train_acc,train_sens,train_spec,val_auc,val_acc,val_sens,val_spec,current_lr
1,9.482315242290497,0.892,0.892,0.932,0.852,0.75,0.74,0.7666666666666667,0.7333333333333333,0.0001
2,3.501118019223213,1.0,1.0,1.0,1.0,0.7916666666666666,0.7866666666666666,0.8,0.7833333333333333,0.0001
3,1.0585654061287642,1.0,1.0,1.0,1.0,0.7749999999999999,0.78,0.7666666666666667,0.7833333333333333,0.0001
4,0.4062899686396122,1.0,1.0,1.0,1.0,0.7291666666666666,0.7866666666666666,0.6333333333333333,0.825,5e-05
5,0.20746431266888976,1.0,1.0,1.0,1.0,0.7791666666666667,0.7866666666666666,0.7666666666666667,0.7916666666666666,5e-05
6,0.18914742767810822,1.0,1.0,1.0,1.0,0.7291666666666666,0.7866666666666666,0.6333333333333333,0.825,2.5e-05
7,0.12203479884192348,1.0,1.0,1.0,1.0,0.7708333333333334,0.7933333333333333,0.7333333333333333,0.8083333333333333,2.5e-05
