epoch,train_loss,train_auc,train_acc,train_sens,train_spec,val_auc,val_acc,val_sens,val_spec,current_lr
1,10.67711815237999,0.8160000000000001,0.816,0.992,0.64,0.6916666666666667,0.5866666666666667,0.8666666666666667,0.5166666666666667,0.0001
2,3.7465855181217194,0.996,0.996,0.992,1.0,0.7458333333333332,0.7733333333333333,0.7,0.7916666666666666,0.0001
3,1.2659794799983501,1.0,1.0,1.0,1.0,0.7250000000000001,0.8,0.6,0.85,0.0001
4,0.6816029511392117,1.0,1.0,1.0,1.0,0.7291666666666666,0.7466666666666667,0.7,0.7583333333333333,5e-05
5,0.28782212641090155,1.0,1.0,1.0,1.0,0.7374999999999999,0.78,0.6666666666666666,0.8083333333333333,5e-05
6,0.27162470761686563,1.0,1.0,1.0,1.0,0.75,0.78,0.7,0.8,5e-05
7,0.16210593283176422,1.0,1.0,1.0,1.0,0.7333333333333333,0.7733333333333333,0.6666666666666666,0.8,5e-05
